,lsam,rms,lt_pvalue,lt_rvalue,lt_slope,lt_intercept,lt_stderr,min_max,cam,cbm
PC-1,-0.19971385160509444,-0.41176063647535943,-0.4265404424206511,0.49064841978783424,0.03261314160981149,0.32426105469905153,0.2255723890507986,0.3402967226924467,0.2600457789448729,-0.1654615270726322
PC-2,0.16648396455095274,-0.1534066524810725,-0.2744213206231756,0.22363283644568888,0.4947484191172907,0.17950559516701825,-0.21961149605108832,-0.4442074048424381,-0.5443253653929,-0.06777162925993968
PC-3,-0.25806322856433833,0.3801883153896063,0.28941543531086783,-0.05233167689587896,0.33602720438601574,0.3148993723826148,-0.14251975597336497,0.08995797526945036,0.12308730389045747,-0.6683783486547838
PC-4,0.43762724121512125,0.25947866030538536,0.20101846363980386,0.053053370077564485,0.24277816078963993,0.35244361671855623,0.6843982244678256,0.056081925649774,-0.02944823659334113,0.20581324250897357
PC-5,0.5499403725243095,-0.2151617418407119,-0.14855938232623916,-0.21223022767105776,0.3498556154128873,-0.471381714748509,0.002483047756661843,0.26714006673231855,0.20434728571257052,-0.35557275670142796
