,lt_pvalue,lt_rvalue,lt_slope,lt_stderr,rms,min_max,lsam
PC-1,0.2267187830480377,0.544995488123256,0.5526831390316707,-0.04545272528418848,-0.3142736150573873,-0.3054552518756106,-0.38985009030808015
PC-2,0.33078032050869444,-0.19839549369851475,-0.336805428536871,0.640032319730943,0.09326429502579736,-0.2896000483331688,-0.4853637027332999
PC-3,0.01639692211257935,0.40967240321535175,0.2672451273384049,0.42359393335690965,0.6118783303977804,0.44976467742752707,0.06606457639484828
PC-4,0.7728373566526792,-0.10802881437744448,0.004900543704517583,-0.022409298444341565,-0.32476029797700856,0.5046158730120288,0.17441207814577664
PC-5,-0.4003454440020201,0.10312529359149702,0.013222540687162054,0.5913464902010744,-0.628739279014213,0.17761964768308544,0.22882607372142777
